"Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2015&sourcekey=0"
"Mon Nov 23 2020 07:53:49 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2013-2040)"
of which:  E85,"Energy Use: Delivered: All Sectors: E85": Reference case,2-AEO2015.80.ref2015-d021915a,"quads",0.01171,0.02172,0.026239,0.032664,0.0352,0.020884,0.020741,0.025917,0.028106,0.037193,0.061388,0.076376,0.095147,0.121659,0.144554,0.162956,0.177092,0.187721,0.195366,0.212589,0.21646,0.227845,0.233923,0.240971,0.251394,0.258436,0.261895,0.275541,0.281606,"10.0%"
Jet Fuel,"Energy Use: Delivered: All Sectors: Jet Fuel": Reference case,2-AEO2015.81.ref2015-d021915a,"quads",2.90143,2.968549,3.031539,3.029539,3.044537,3.083474,3.12054,3.156928,3.195059,3.225205,3.260535,3.302586,3.345589,3.392459,3.439141,3.486475,3.531129,3.570948,3.606977,3.640301,3.672795,3.70382,3.733045,3.76053,3.785999,3.807886,3.82813,3.8464,3.862931,"1.0%"
Kerosene,"Energy Use: Delivered: All Sectors: Kerosene": Reference case,2-AEO2015.82.ref2015-d021915a,"quads",0.01095,0.012637,0.016247,0.016296,0.015718,0.014099,0.013059,0.012561,0.01217,0.011765,0.011358,0.011127,0.010894,0.010655,0.010403,0.010329,0.010253,0.010178,0.010103,0.010036,0.009977,0.009927,0.009885,0.009857,0.009837,0.009815,0.009785,0.009762,0.009737,"-1.0%"
Distillate Fuel Oil,"Energy Use: Delivered: All Sectors: Distillate Fuel Oil": Reference case,2-AEO2015.83.ref2015-d021915a,"quads",7.923631,8.095327,8.376435,8.434968,8.616656,8.691255,8.760593,8.82145,8.863661,8.867083,8.880677,8.907389,8.943341,8.969277,8.977817,8.995028,9.007585,9.022215,9.048948,9.058693,9.053108,9.067817,9.099562,9.136955,9.164519,9.16567,9.167406,9.145458,9.126005,"0.4%"
Residual Fuel Oil,"Energy Use: Delivered: All Sectors: Residual Fuel Oil": Reference case,2-AEO2015.84.ref2015-d021915a,"quads",0.772263,0.653207,0.513478,0.483228,0.462227,0.476929,0.498153,0.511652,0.526324,0.537346,0.54722,0.552802,0.557595,0.562457,0.567396,0.564647,0.561322,0.558947,0.556476,0.55643,0.55586,0.55542,0.555214,0.554807,0.554907,0.555198,0.555894,0.555963,0.556025,"-0.6%"
Petrochemical Feedstocks,"Energy Use: Delivered: All Sectors: Petrochemical Feedstocks": Reference case,2-AEO2015.85.ref2015-d021915a,"quads",0.74116,0.7419,0.6989,0.7342,0.7258,0.789403,0.85957,0.909782,0.94704,0.977227,1.015061,1.050818,1.074749,1.09873,1.121634,1.128727,1.133878,1.140631,1.14387,1.148272,1.155898,1.156431,1.16157,1.165465,1.166742,1.175561,1.184961,1.191543,1.202839,"1.8%"
Other Petroleum,"Energy Use: Delivered: All Sectors: Other Petroleum": Reference case,2-AEO2015.86.ref2015-d021915a,"quads",3.471826,3.674592,3.606128,3.640107,3.676223,3.676995,3.731922,3.772455,3.824179,3.871677,3.895267,3.919887,3.936902,3.958089,3.981678,3.983171,3.977492,3.974709,3.984161,4.000367,3.994714,4.012584,4.033153,4.051558,4.070608,4.089962,4.108671,4.127313,4.149171,"0.5%"
Petroleum and Other Liquids Subtotal,"Energy Use: Delivered: All Sectors: Liquid Fuels Subtotal": Reference case,2-AEO2015.87.ref2015-d021915a,"quads",34.931087,35.645775,35.743179,35.809498,36.111477,36.353725,36.623684,36.793869,36.891991,36.876995,36.873569,36.860924,36.809368,36.717228,36.612419,36.514336,36.436844,36.3559,36.296402,36.233597,36.145031,36.102703,36.093689,36.090767,36.087013,36.098896,36.120579,36.079639,36.033424,"0.0%"
Natural Gas,"Energy Use: Delivered: All Sectors: Natural Gas": Reference case,2-AEO2015.88.ref2015-d021915a,"quads",14.64786,16.095625,16.843315,16.285025,16.400349,16.3734,16.393236,16.38044,16.32403,16.269611,16.278156,16.321783,16.37191,16.403233,16.421518,16.49828,16.59696,16.680519,16.760992,16.822479,16.886112,16.936592,16.993093,17.074066,17.164099,17.277781,17.41194,17.534035,17.637798,"0.3%"
Natural-Gas-to-Liquids Heat and Power,"Energy Use: Delivered: All Sectors: Natural-Gas-to-Liquids Heat and Power": Reference case,2-AEO2015.89.ref2015-d021915a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Lease and Plant Fuel,"Energy Use: Delivered: All Sectors: Lease and Plant Fuel": Reference case,2-AEO2015.90.ref2015-d021915a,"quads",1.430109,1.520729,1.713013,1.773888,1.820639,1.755648,1.718609,1.791696,1.872414,1.914635,1.939226,1.950975,1.963045,1.976801,1.987767,2.014965,2.043628,2.07192,2.101407,2.112984,2.123701,2.140161,2.157629,2.176452,2.195717,2.216999,2.241991,2.265471,2.287656,"1.5%"
Pipeline Fuel Natural Gas,"Energy Use: Delivered: All Sectors: Pipeline Natural Gas": Reference case,2-AEO2015.91.ref2015-d021915a,"quads",0.745639,0.884846,0.873436,0.778914,0.910862,0.86227,0.830886,0.842667,0.851862,0.858575,0.868307,0.877718,0.887508,0.895363,0.901114,0.912694,0.922584,0.932208,0.937631,0.936533,0.937186,0.938242,0.938402,0.940986,0.945572,0.949175,0.953097,0.956549,0.957227,"0.3%"
Natural Gas Subtotal,"Energy Use: Delivered: All Sectors: Natural Gas Subtotal": Reference case,2-AEO2015.92.ref2015-d021915a,"quads",16.823608,18.5012,19.429764,18.837826,19.131849,18.991318,18.94273,19.014803,19.048306,19.042822,19.08569,19.150476,19.222464,19.275396,19.3104,19.42594,19.563173,19.684649,19.80003,19.871996,19.946999,20.014996,20.089125,20.191504,20.305387,20.443954,20.607027,20.756054,20.882683,"0.4%"
Metallurgical Coal,"Energy Use: Delivered: All Sectors: Metallurgical Coal": Reference case,2-AEO2015.93.ref2015-d021915a,"quads",0.59416,0.6164,0.5886,0.6081,0.6445,0.628838,0.61915,0.614639,0.607942,0.600784,0.596533,0.59455,0.592868,0.589394,0.582866,0.577856,0.570947,0.563752,0.556749,0.550555,0.545211,0.540966,0.53565,0.529718,0.523492,0.515653,0.513707,0.51136,0.507525,"-0.7%"
Other Coal,"Energy Use: Delivered: All Sectors: Other Coal": Reference case,2-AEO2015.94.ref2015-d021915a,"quads",0.9115,0.924323,0.931063,0.907583,0.92457,0.942622,0.958201,0.967601,0.978089,0.983609,0.988435,0.992541,0.995994,0.998372,1.001212,1.002,1.001865,1.00183,1.003282,1.004573,1.002277,1.003713,1.007575,1.013095,1.018605,1.023101,1.029342,1.034757,1.040635,"0.4%"
Coal-to-Liquids Heat and Power,"Energy Use: Delivered: All Sectors: Coal-to-Liquids Heat and Power": Reference case,2-AEO2015.95.ref2015-d021915a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Net Coal Coke Imports,"Energy Use: Delivered: All Sectors: Net Coal Coke Imports": Reference case,2-AEO2015.96.ref2015-d021915a,"quads",0.00398,-0.0174,-0.0118,0.0253,0.0321,0.008155,0.006453,0.004486,0.002221,-0.000157,-0.002612,-0.005344,-0.008253,-0.011435,-0.01488,-0.018507,-0.022265,-0.026095,-0.030013,-0.034024,-0.038177,-0.042531,-0.04702,-0.051637,-0.056354,-0.061078,-0.060389,-0.058716,-0.056874,"4.5%"
Coal Subtotal,"Energy Use: Delivered: All Sectors: Coal Subtotal": Reference case,2-AEO2015.97.ref2015-d021915a,"quads",1.509641,1.523323,1.507863,1.540984,1.60117,1.579615,1.583804,1.586726,1.588252,1.584237,1.582356,1.581747,1.580609,1.576331,1.569199,1.561349,1.550546,1.539487,1.530018,1.521104,1.509311,1.502148,1.496205,1.491175,1.485743,1.477676,1.48266,1.487401,1.491286,"-0.1%"
Biofuels Heat and Coproducts,"Energy Use: Delivered: All Sectors: Biofuels Heat and Coproducts": Reference case,2-AEO2015.98.ref2015-d021915a,"quads",0.731404,0.723312,0.638225,0.747816,0.751296,0.801621,0.801219,0.803837,0.80246,0.792937,0.798624,0.797555,0.798945,0.797648,0.79645,0.79709,0.802661,0.801695,0.800843,0.80554,0.806172,0.806172,0.806172,0.811713,0.820274,0.820275,0.830169,0.846294,0.861086,"0.6%"
Renewable Energy,"Energy Use: Delivered: All Sectors: Renewable Energy": Reference case,2-AEO2015.99.ref2015-d021915a,"quads",2.060001,2.18293,2.191117,1.987406,1.976856,1.997183,2.025985,2.044074,2.064838,2.080898,2.09334,2.098298,2.101297,2.110245,2.117105,2.11308,2.102487,2.093171,2.087263,2.079897,2.065924,2.060299,2.059566,2.061874,2.064973,2.06974,2.078695,2.087697,2.099459,"-0.1%"
Liquid Hydrogen,"Energy Use: Delivered: All Sectors: Liquid Hydrogen": Reference case,2-AEO2015.100.ref2015-d021915a,"quads",0,0,0,0.000151,0.000303,0.000424,0.000688,0.000932,0.00116,0.00139,0.0016,0.001794,0.002015,0.00222,0.002416,0.002616,0.002807,0.002988,0.003161,0.003325,0.00348,0.003626,0.003764,0.003894,0.00402,0.004144,0.004267,0.004392,0.004526,"- -"
Electricity,"Energy Use: Delivered: All Sectors: Electricity": Reference case,2-AEO2015.101.ref2015-d021915a,"quads",12.607393,12.595371,12.757164,12.795327,12.953362,13.071827,13.252731,13.396644,13.445522,13.506277,13.603344,13.70077,13.815166,13.913782,14.011967,14.097605,14.184859,14.276025,14.347718,14.418903,14.48157,14.556996,14.641809,14.737913,14.84603,14.953915,15.061018,15.158488,15.252325,"0.7%"
Delivered Energy,"Energy Use: Delivered: All Sectors: Delivered Energy": Reference case,2-AEO2015.102.ref2015-d021915a,"quads",68.663132,71.171906,72.267311,71.719009,72.526314,72.795715,73.230835,73.640884,73.842529,73.885551,74.038521,74.191559,74.329865,74.392853,74.419952,74.512016,74.643379,74.753914,74.865433,74.934357,74.958488,75.046936,75.190331,75.38884,75.613441,75.868599,76.184418,76.419968,76.624786,"0.3%"
Electricity Related Losses,"Energy Use: Delivered: All Sectors: Electricity Related Losses": Reference case,2-AEO2015.103.ref2015-d021915a,"quads",25.734545,25.97068,26.233231,26.113583,26.222569,26.155037,26.429531,26.814121,26.999855,27.074251,27.186394,27.336704,27.506973,27.576666,27.681267,27.772081,27.832291,27.920738,28.005985,28.064766,28.140694,28.235718,28.343718,28.45669,28.594734,28.734982,28.888617,29.002937,29.103975,"0.4%"
Total,"Energy Use: Delivered: All Sectors: Total": Reference case,2-AEO2015.104.ref2015-d021915a,"quads",94.397675,97.142586,98.500542,97.832596,98.748886,98.950752,99.66037,100.455002,100.842384,100.959801,101.224915,101.528259,101.836838,101.969521,102.101219,102.284096,102.47567,102.674652,102.871414,102.999123,103.099182,103.282654,103.53405,103.845528,104.208176,104.603577,105.073036,105.422905,105.72876,"0.3%"
Electric Power,,2-AEO2015.107.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distillate Fuel Oil,"Energy Use: Electric Power: Distillate Fuel Oil": Reference case,2-AEO2015.108.ref2015-d021915a,"quads",0.05255,0.05274,0.084864,0.083724,0.082113,0.082863,0.08381,0.086651,0.088389,0.088597,0.088887,0.089349,0.089615,0.089239,0.087451,0.08596,0.084808,0.084649,0.084458,0.081915,0.081771,0.081468,0.081437,0.081407,0.081479,0.081518,0.081607,0.081613,0.081606,"1.6%"
Residual Fuel Oil,"Energy Use: Electric Power: Residual Fuel Oil": Reference case,2-AEO2015.109.ref2015-d021915a,"quads",0.17185,0.21216,0.201776,0.171381,0.169479,0.142649,0.143515,0.084468,0.084592,0.084429,0.084807,0.085242,0.085731,0.085334,0.08504,0.085602,0.086172,0.08675,0.087276,0.08772,0.088186,0.088773,0.089337,0.089971,0.090671,0.091356,0.092068,0.092716,0.093405,"-3.0%"
Petroleum and Other Liquids Subtotal,"Energy Use: Electric Power: Liquid Fuels Subtotal": Reference case,2-AEO2015.110.ref2015-d021915a,"quads",0.2244,0.2649,0.28664,0.255105,0.251592,0.225512,0.227325,0.171119,0.172981,0.173027,0.173693,0.174591,0.175346,0.174574,0.172491,0.171562,0.17098,0.171398,0.171734,0.169635,0.169958,0.170241,0.170774,0.171378,0.17215,0.172874,0.173675,0.17433,0.175011,"-1.5%"
Natural Gas,"Energy Use: Electric Power: Natural Gas": Reference case,2-AEO2015.111.ref2015-d021915a,"quads",9.31283,8.35984,8.423834,8.433547,8.641575,8.111734,8.195656,8.02901,7.798141,7.751343,7.818197,7.963794,8.140608,8.328364,8.491076,8.659363,8.789268,8.931266,9.031834,9.062596,9.104198,9.184649,9.269677,9.398465,9.517866,9.586709,9.607954,9.593284,9.613737,"0.5%"
Steam Coal,"Energy Use: Electric Power: Steam Coal": Reference case,2-AEO2015.112.ref2015-d021915a,"quads",15.821259,16.489283,16.820236,16.551519,16.175339,16.395416,16.575136,17.221313,17.587933,17.630569,17.695339,17.759163,17.819496,17.752134,17.735512,17.71361,17.68358,17.65107,17.628662,17.594933,17.572729,17.544744,17.532749,17.538189,17.543808,17.52129,17.536604,17.521267,17.516506,"0.2%"
Nuclear / Uranium,"Energy Use: Electric Power: Nuclear": Reference case,2-AEO2015.113.ref2015-d021915a,"quads",8.061831,8.2681,8.211568,8.113268,8.188745,8.329243,8.36015,8.39205,8.421916,8.451907,8.462304,8.462304,8.462304,8.462309,8.462304,8.462304,8.462308,8.462304,8.470363,8.487123,8.491474,8.492024,8.50067,8.512273,8.522729,8.557754,8.598822,8.644646,8.731338,"0.2%"
Renewable Energy,"Energy Use: Electric Power: Renewable Energy": Reference case,2-AEO2015.114.ref2015-d021915a,"quads",4.534479,4.780237,4.865733,5.186974,5.549781,5.79723,5.971028,6.048707,6.126627,6.229931,6.289583,6.330072,6.380788,6.426736,6.48218,6.52139,6.57895,6.642336,6.723883,6.841794,6.957023,7.079516,7.195617,7.261234,7.371145,7.53478,7.712047,7.897981,7.986456,"1.9%"
Non-biogenic Municipal Waste,"Energy Use: Electric Power: Non-biogenic Municipal Waste": Reference case,2-AEO2015.115.ref2015-d021915a,"quads",0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,"0.0%"
Electricity Imports,"Energy Use: Electric Power: Electricity Imports": Reference case,2-AEO2015.116.ref2015-d021915a,"quads",0.161926,0.17848,0.157169,0.143283,0.143687,0.142514,0.127756,0.123353,0.112568,0.11854,0.125409,0.122339,0.118385,0.121121,0.124456,0.116245,0.106848,0.113177,0.102016,0.102378,0.101669,0.096324,0.09082,0.08785,0.087851,0.090276,0.09532,0.104704,0.108032,"-1.8%"
Total,"Energy Use: Electric Power: Total": Reference case,2-AEO2015.117.ref2015-d021915a,"quads",38.341938,38.566051,38.990395,38.908909,39.17593,39.226864,39.682262,40.210766,40.445377,40.580528,40.789738,41.037476,41.32214,41.490448,41.693233,41.869686,42.017151,42.196762,42.353703,42.483669,42.622265,42.792713,42.985527,43.194603,43.440765,43.688896,43.949635,44.161427,44.3563,"0.5%"
Total Energy Consumption,,2-AEO2015.119.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases and Other,"Energy Use: Total: Liquefied Petroleum Gases": Reference case,2-AEO2015.120.ref2015-d021915a,"quads",3.008938,3.135173,3.045958,3.054077,3.185236,3.349535,3.514442,3.645797,3.731968,3.785135,3.872859,3.957353,4.026658,4.07637,4.104188,4.144032,4.193592,4.217194,4.226741,4.223664,4.215549,4.205799,4.195612,4.185733,4.179289,4.200031,4.221596,4.204772,4.168394,"1.1%"
Motor Gasoline,"Energy Use: Total: Motor Gasoline": Reference case,2-AEO2015.121.ref2015-d021915a,"quads",16.100891,16.364391,16.454494,16.417084,16.385078,16.272038,16.125402,15.963247,15.791592,15.601559,15.390592,15.15896,14.913638,14.649193,14.410162,14.201927,14.021591,13.861078,13.719128,13.595837,13.487131,13.390904,13.305645,13.225862,13.155115,13.094773,13.044137,12.998426,12.95832,"-0.9%"
of which:  E85,"Energy Use: Total: E85": Reference case,2-AEO2015.122.ref2015-d021915a,"quads",0.01171,0.02172,0.026239,0.032664,0.0352,0.020884,0.020741,0.025917,0.028106,0.037193,0.061388,0.076376,0.095147,0.121659,0.144554,0.162956,0.177092,0.187721,0.195366,0.212589,0.21646,0.227845,0.233923,0.240971,0.251394,0.258436,0.261895,0.275541,0.281606,"10.0%"
Jet Fuel,"Energy Use: Total: Jet Fuel": Reference case,2-AEO2015.123.ref2015-d021915a,"quads",2.90143,2.968549,3.031539,3.029539,3.044537,3.083474,3.12054,3.156928,3.195059,3.225205,3.260535,3.302586,3.345589,3.392459,3.439141,3.486475,3.531129,3.570948,3.606977,3.640301,3.672795,3.70382,3.733045,3.76053,3.785999,3.807886,3.82813,3.8464,3.862931,"1.0%"
Kerosene,"Energy Use: Total: Kerosene": Reference case,2-AEO2015.124.ref2015-d021915a,"quads",0.01095,0.012637,0.016247,0.016296,0.015718,0.014099,0.013059,0.012561,0.01217,0.011765,0.011358,0.011127,0.010894,0.010655,0.010403,0.010329,0.010253,0.010178,0.010103,0.010036,0.009977,0.009927,0.009885,0.009857,0.009837,0.009815,0.009785,0.009762,0.009737,"-1.0%"
Distillate Fuel Oil,"Energy Use: Total: Distillate Fuel Oil": Reference case,2-AEO2015.125.ref2015-d021915a,"quads",7.976181,8.148067,8.461299,8.518692,8.69877,8.774117,8.844403,8.908101,8.952049,8.95568,8.969563,8.996737,9.032956,9.058517,9.065268,9.080989,9.092393,9.106864,9.133407,9.140608,9.134879,9.149285,9.180999,9.218363,9.245998,9.247189,9.249013,9.227072,9.207611,"0.5%"
Residual Fuel Oil,"Energy Use: Total: Residual Fuel Oil": Reference case,2-AEO2015.126.ref2015-d021915a,"quads",0.944113,0.865367,0.715254,0.654608,0.631706,0.619578,0.641668,0.59612,0.610916,0.621776,0.632027,0.638044,0.643325,0.647791,0.652435,0.650249,0.647494,0.645696,0.643752,0.644149,0.644047,0.644193,0.644552,0.644778,0.645577,0.646554,0.647962,0.648679,0.64943,"-1.1%"
Petrochemical Feedstocks,"Energy Use: Total: Petrochemical Feedstocks": Reference case,2-AEO2015.127.ref2015-d021915a,"quads",0.74116,0.7419,0.6989,0.7342,0.7258,0.789403,0.85957,0.909782,0.94704,0.977227,1.015061,1.050818,1.074749,1.09873,1.121634,1.128727,1.133878,1.140631,1.14387,1.148272,1.155898,1.156431,1.16157,1.165465,1.166742,1.175561,1.184961,1.191543,1.202839,"1.8%"
Other Petroleum,"Energy Use: Total: Other Petroleum": Reference case,2-AEO2015.128.ref2015-d021915a,"quads",3.471826,3.674592,3.606128,3.640107,3.676223,3.676995,3.731922,3.772455,3.824179,3.871677,3.895267,3.919887,3.936902,3.958089,3.981678,3.983171,3.977492,3.974709,3.984161,4.000367,3.994714,4.012584,4.033153,4.051558,4.070608,4.089962,4.108671,4.127313,4.149171,"0.5%"
Petroleum and Other Liquids Subtotal,"Energy Use: Total: Liquid Fuels Subtotal": Reference case,2-AEO2015.129.ref2015-d021915a,"quads",35.155487,35.910675,36.029819,36.064602,36.363068,36.579239,36.851006,36.964989,37.064972,37.050022,37.04726,37.035515,36.984715,36.891804,36.784912,36.685898,36.607822,36.527298,36.468136,36.403233,36.314987,36.272945,36.264462,36.262146,36.259163,36.27177,36.294254,36.253967,36.208431,"0.0%"
Natural Gas,"Energy Use: Total: Natural Gas": Reference case,2-AEO2015.130.ref2015-d021915a,"quads",23.96069,24.455465,25.267149,24.718571,25.041924,24.485134,24.588892,24.409451,24.122171,24.020954,24.096354,24.285576,24.512518,24.731596,24.912596,25.157642,25.386229,25.611784,25.792826,25.885077,25.990309,26.121243,26.262772,26.47253,26.681965,26.864489,27.019894,27.127319,27.251535,"0.4%"
Natural-Gas-to-Liquids Heat and Power,"Energy Use: Total: Natural-Gas-to-Liquids Heat and Power": Reference case,2-AEO2015.131.ref2015-d021915a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Lease and Plant Fuel,"Energy Use: Total: Lease and Plant Fuel": Reference case,2-AEO2015.132.ref2015-d021915a,"quads",1.430109,1.520729,1.713013,1.773888,1.820639,1.755648,1.718609,1.791696,1.872414,1.914635,1.939226,1.950975,1.963045,1.976801,1.987767,2.014965,2.043628,2.07192,2.101407,2.112984,2.123701,2.140161,2.157629,2.176452,2.195717,2.216999,2.241991,2.265471,2.287656,"1.5%"
Pipeline Fuel Natural Gas,"Energy Use: Total: Pipeline Natural Gas": Reference case,2-AEO2015.133.ref2015-d021915a,"quads",0.745639,0.884846,0.873436,0.778914,0.910862,0.86227,0.830886,0.842667,0.851862,0.858575,0.868307,0.877718,0.887508,0.895363,0.901114,0.912694,0.922584,0.932208,0.937631,0.936533,0.937186,0.938242,0.938402,0.940986,0.945572,0.949175,0.953097,0.956549,0.957227,"0.3%"
Natural Gas Subtotal,"Energy Use: Total: Natural Gas Subtotal": Reference case,2-AEO2015.134.ref2015-d021915a,"quads",26.136438,26.86104,27.853598,27.271372,27.773424,27.103052,27.138386,27.043814,26.846447,26.794165,26.903887,27.114269,27.363071,27.60376,27.801477,28.085302,28.352442,28.615913,28.831863,28.934593,29.051195,29.199646,29.358803,29.589968,29.823254,30.030663,30.214981,30.349339,30.49642,"0.5%"
Metallurgical Coal,"Energy Use: Total: Metallurgical Coal": Reference case,2-AEO2015.135.ref2015-d021915a,"quads",0.59416,0.6164,0.5886,0.6081,0.6445,0.628838,0.61915,0.614639,0.607942,0.600784,0.596533,0.59455,0.592868,0.589394,0.582866,0.577856,0.570947,0.563752,0.556749,0.550555,0.545211,0.540966,0.53565,0.529718,0.523492,0.515653,0.513707,0.51136,0.507525,"-0.7%"
Other Coal,"Energy Use: Total: Other Coal": Reference case,2-AEO2015.136.ref2015-d021915a,"quads",16.732759,17.413607,17.751299,17.459103,17.099909,17.338039,17.533339,18.188915,18.566023,18.61418,18.683775,18.751705,18.815491,18.750507,18.736725,18.715611,18.685446,18.652901,18.631945,18.599506,18.575006,18.548458,18.540325,18.551285,18.562414,18.544392,18.565947,18.556025,18.557142,"0.2%"
Coal-to-Liquids Heat and Power,"Energy Use: Total: Coal-to-Liquids Heat and Power": Reference case,2-AEO2015.137.ref2015-d021915a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Net Coal Coke Imports,"Energy Use: Total: Net Coal Coke Imports": Reference case,2-AEO2015.138.ref2015-d021915a,"quads",0.00398,-0.0174,-0.0118,0.0253,0.0321,0.008155,0.006453,0.004486,0.002221,-0.000157,-0.002612,-0.005344,-0.008253,-0.011435,-0.01488,-0.018507,-0.022265,-0.026095,-0.030013,-0.034024,-0.038177,-0.042531,-0.04702,-0.051637,-0.056354,-0.061078,-0.060389,-0.058716,-0.056874,"4.5%"
Coal Subtotal,"Energy Use: Total: Coal Subtotal": Reference case,2-AEO2015.139.ref2015-d021915a,"quads",17.3309,18.012606,18.328098,18.092503,17.77651,17.975033,18.158941,18.808041,19.176188,19.214808,19.277697,19.34091,19.400106,19.328466,19.304712,19.27496,19.234129,19.190557,19.158682,19.116037,19.082043,19.046894,19.028955,19.029366,19.029551,18.998968,19.019266,19.008669,19.007793,"0.2%"
Nuclear / Uranium,"Energy Use: Total: Nuclear": Reference case,2-AEO2015.140.ref2015-d021915a,"quads",8.061831,8.2681,8.211568,8.113268,8.188745,8.329243,8.36015,8.39205,8.421916,8.451907,8.462304,8.462304,8.462304,8.462309,8.462304,8.462304,8.462308,8.462304,8.470363,8.487123,8.491474,8.492024,8.50067,8.512273,8.522729,8.557754,8.598822,8.644646,8.731338,"0.2%"
Biofuels Heat and Coproducts,"Energy Use: Total: Biofuels Heat and Coproducts": Reference case,2-AEO2015.141.ref2015-d021915a,"quads",0.731404,0.723312,0.638225,0.747816,0.751296,0.801621,0.801219,0.803837,0.80246,0.792937,0.798624,0.797555,0.798945,0.797648,0.79645,0.79709,0.802661,0.801695,0.800843,0.80554,0.806172,0.806172,0.806172,0.811713,0.820274,0.820275,0.830169,0.846294,0.861086,"0.6%"
Renewable Energy,"Energy Use: Total: Renewable Energy": Reference case,2-AEO2015.142.ref2015-d021915a,"quads",6.59448,6.963167,7.05685,7.17438,7.526637,7.794413,7.997012,8.092781,8.191464,8.310829,8.382922,8.42837,8.482085,8.536981,8.599284,8.63447,8.681437,8.735507,8.811146,8.921691,9.022947,9.139815,9.255182,9.323108,9.436118,9.604519,9.790743,9.985678,10.085916,"1.4%"
Liquid Hydrogen,"Energy Use: Total: Liquid Hydrogen": Reference case,2-AEO2015.143.ref2015-d021915a,"quads",0,0,0,0.000151,0.000303,0.000424,0.000688,0.000932,0.00116,0.00139,0.0016,0.001794,0.002015,0.00222,0.002416,0.002616,0.002807,0.002988,0.003161,0.003325,0.00348,0.003626,0.003764,0.003894,0.00402,0.004144,0.004267,0.004392,0.004526,"- -"
Non-biogenic Municipal Waste,"Energy Use: Total: Non-biogenic Municipal Waste": Reference case,2-AEO2015.144.ref2015-d021915a,"quads",0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,0.225214,"0.0%"
Electricity Imports,"Energy Use: Total: Electricity Imports": Reference case,2-AEO2015.145.ref2015-d021915a,"quads",0.161926,0.17848,0.157169,0.143283,0.143687,0.142514,0.127756,0.123353,0.112568,0.11854,0.125409,0.122339,0.118385,0.121121,0.124456,0.116245,0.106848,0.113177,0.102016,0.102378,0.101669,0.096324,0.09082,0.08785,0.087851,0.090276,0.09532,0.104704,0.108032,"-1.8%"
Total,"Energy Use: Total: Total": Reference case,2-AEO2015.146.ref2015-d021915a,"quads",94.397675,97.142586,98.500534,97.832588,98.748878,98.950745,99.66037,100.455009,100.842384,100.959808,101.224915,101.528259,101.836838,101.969513,102.101219,102.284096,102.47567,102.67466,102.871422,102.999138,103.099182,103.282669,103.534042,103.845528,104.208176,104.603577,105.073036,105.42289,105.728752,"0.3%"
Energy Use & Related Statistics,,2-AEO2015.148.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivered Energy Use,"Energy Use & Related Statistics: Delivered Energy Use": Reference case,2-AEO2015.149.ref2015-d021915a,"quads",68.663132,71.171906,72.267311,71.719009,72.526314,72.795715,73.230835,73.640884,73.842529,73.885551,74.038521,74.191559,74.329865,74.392853,74.419952,74.512016,74.643379,74.753914,74.865433,74.934357,74.958488,75.046936,75.190331,75.38884,75.613441,75.868599,76.184418,76.419968,76.624786,"0.3%"
Total Energy Use,"Energy Use & Related Statistics: Total Energy Use": Reference case,2-AEO2015.150.ref2015-d021915a,"quads",94.397675,97.142586,98.500534,97.832588,98.748878,98.950745,99.66037,100.455009,100.842384,100.959808,101.224915,101.528259,101.836838,101.969513,102.101219,102.284096,102.47567,102.67466,102.871422,102.999138,103.099182,103.282669,103.534042,103.845528,104.208176,104.603577,105.073036,105.42289,105.728752,"0.3%"
