"Table 2.  Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2020&sourcekey=0"
"Thu Nov 05 2020 11:07:22 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2019-2050)"
Total,"Energy Use: Transportation: Total": Reference case,2-AEO2020.71.ref2020-d112119a,"quads",28.197828,28.234777,28.050568,27.702976,27.449793,27.159414,26.848104,26.611061,26.385132,26.192127,26.029919,25.906254,25.804466,25.702768,25.618557,25.558733,25.491962,25.443653,25.423115,25.415354,25.428247,25.482544,25.557962,25.644384,25.756958,25.880415,26.020279,26.164328,26.327042,26.494429,26.666752,26.842958,"-0.2%"
Unspecified Sector,,2-AEO2020.73.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"Energy Use: Unspecified: Total": Reference case,2-AEO2020.77.ref2020-d112119a,"quads",0.070376,0.222023,0.286179,0.338278,0.341316,0.344355,0.349961,0.354297,0.360619,0.36661,0.37381,0.382134,0.389228,0.396637,0.403599,0.409914,0.415875,0.421108,0.427377,0.433089,0.439135,0.44482,0.450952,0.456508,0.462504,0.46838,0.475225,0.481656,0.488756,0.496222,0.503726,0.511763,"6.6%"
Delivered Energy Consumption, All Sectors,,2-AEO2020.79.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases and Other,"Energy Use: Delivered: All Sectors: Liquefied Petroleum Gases": Reference case,2-AEO2020.80.ref2020-d112119a,"quads",3.768759,4.098966,4.167071,4.256987,4.342181,4.404814,4.448359,4.48413,4.517716,4.557845,4.598157,4.647107,4.688744,4.727067,4.764004,4.803555,4.845819,4.878136,4.910781,4.943309,4.979369,5.017888,5.053612,5.098951,5.136157,5.178721,5.221794,5.272137,5.314125,5.355966,5.40694,5.44066,"1.2%"
Motor Gasoline,"Energy Use: Delivered: All Sectors: Motor Gasoline": Reference case,2-AEO2020.81.ref2020-d112119a,"quads",17.160221,17.206181,17.067984,16.837149,16.523163,16.193956,15.856875,15.5978,15.374442,15.176827,14.998297,14.848476,14.719697,14.586298,14.462612,14.345031,14.229981,14.140329,14.064264,14.001075,13.951831,13.925961,13.910645,13.909888,13.921799,13.942833,13.968853,14.008247,14.057117,14.109786,14.168859,14.236506,"-0.6%"
of which:  E85,"Energy Use: Delivered: All Sectors: E85": Reference case,2-AEO2020.82.ref2020-d112119a,"quads",0.014952,0.019286,0.020542,0.024494,0.023208,0.022737,0.024349,0.024551,0.02409,0.023013,0.022452,0.024862,0.023507,0.023174,0.022591,0.021427,0.019485,0.019928,0.019717,0.018296,0.016495,0.015061,0.014862,0.013187,0.012808,0.01245,0.012251,0.011684,0.008313,0.00788,0.009604,0.009551,"-1.4%"
Jet Fuel,"Energy Use: Delivered: All Sectors: Jet Fuel": Reference case,2-AEO2020.83.ref2020-d112119a,"quads",3.632717,3.703841,3.686583,3.660182,3.663723,3.682744,3.713974,3.744181,3.776127,3.811925,3.84671,3.882323,3.917385,3.954092,3.98955,4.02464,4.057759,4.09042,4.12409,4.156852,4.190514,4.226877,4.264115,4.301651,4.341857,4.383804,4.428105,4.47389,4.521812,4.570488,4.619812,4.669962,"0.8%"
Kerosene,"Energy Use: Delivered: All Sectors: Kerosene": Reference case,2-AEO2020.84.ref2020-d112119a,"quads",0.00145,0.001531,0.001611,0.001416,0.001398,0.001335,0.001324,0.001256,0.001251,0.001183,0.001152,0.001081,0.001034,0.001012,0.000958,0.000922,0.000889,0.000861,0.000836,0.000815,0.000785,0.000776,0.000749,0.000712,0.000691,0.000669,0.000629,0.000624,0.000585,0.000554,0.000533,0.000524,"-3.2%"
Distillate Fuel Oil,"Energy Use: Delivered: All Sectors: Distillate Fuel Oil": Reference case,2-AEO2020.85.ref2020-d112119a,"quads",8.515884,8.605359,8.520649,8.544497,8.461646,8.439819,8.408154,8.40643,8.367581,8.352163,8.308079,8.245256,8.21405,8.177204,8.144835,8.129,8.113804,8.112512,8.092369,8.082683,8.068491,8.077027,8.080025,8.096512,8.115567,8.145859,8.164159,8.198814,8.225897,8.24688,8.270359,8.283504,"-0.1%"
Residual Fuel Oil,"Energy Use: Delivered: All Sectors: Residual Fuel Oil": Reference case,2-AEO2020.86.ref2020-d112119a,"quads",0.603161,0.573826,0.598509,0.506429,0.627895,0.64003,0.64839,0.622383,0.612464,0.570299,0.568374,0.615774,0.611914,0.610171,0.60577,0.603874,0.597409,0.554728,0.550949,0.53826,0.53185,0.520694,0.531034,0.508233,0.504579,0.487673,0.501934,0.478627,0.474526,0.471148,0.466128,0.460441,"-0.9%"
Petrochemical Feedstocks,"Energy Use: Delivered: All Sectors: Petrochemical Feedstocks": Reference case,2-AEO2020.87.ref2020-d112119a,"quads",0.6303,0.567,0.63368,0.696617,0.735539,0.772962,0.801915,0.82714,0.849597,0.874477,0.899718,0.926649,0.950898,0.972591,0.993771,1.015933,1.039423,1.058579,1.077548,1.096362,1.116597,1.138273,1.158441,1.18238,1.204208,1.227612,1.251093,1.277771,1.300997,1.324063,1.350241,1.371328,"2.5%"
Other Petroleum,"Energy Use: Delivered: All Sectors: Other Petroleum": Reference case,2-AEO2020.88.ref2020-d112119a,"quads",3.542764,3.352905,3.386818,3.435951,3.43105,3.378989,3.407441,3.463598,3.424215,3.516998,3.538308,3.582537,3.600403,3.622298,3.600662,3.672241,3.697848,3.698025,3.72812,3.759003,3.785275,3.76142,3.791134,3.824894,3.852087,3.884449,3.934418,3.957823,3.995952,4.039396,4.070265,4.136801,"0.5%"
Petroleum and Other Liquids Subtotal,"Energy Use: Delivered: All Sectors: Liquid Fuels Subtotal": Reference case,2-AEO2020.89.ref2020-d112119a,"quads",37.855255,38.109608,38.062904,37.939228,37.786594,37.514652,37.28643,37.146923,36.923393,36.861717,36.758797,36.749207,36.704128,36.650738,36.562164,36.5952,36.582932,36.533592,36.548958,36.578362,36.62471,36.668915,36.789753,36.923222,37.076942,37.251617,37.470982,37.667934,37.89101,38.118286,38.353134,38.599724,"0.1%"
Natural Gas,"Energy Use: Delivered: All Sectors: Natural Gas": Reference case,2-AEO2020.90.ref2020-d112119a,"quads",17.612631,17.741285,17.900518,18.119768,18.29994,18.453997,18.469509,18.420488,18.392017,18.411285,18.481958,18.456169,18.558941,18.672688,18.721394,18.842339,18.960348,19.053354,19.238653,19.351845,19.474157,19.627144,19.780649,19.933235,20.078222,20.243528,20.412992,20.564154,20.771551,20.953453,21.142935,21.273533,"0.6%"
Natural-Gas-to-Liquids Heat and Power,"Energy Use: Delivered: All Sectors: Natural-Gas-to-Liquids Heat and Power": Reference case,2-AEO2020.91.ref2020-d112119a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Lease and Plant Fuel,"Energy Use: Delivered: All Sectors: Lease and Plant Fuel": Reference case,2-AEO2020.92.ref2020-d112119a,"quads",1.911758,1.959219,2.060317,2.152177,2.193848,2.244581,2.307311,2.343771,2.361964,2.382526,2.392183,2.389873,2.398961,2.418214,2.429265,2.448955,2.454799,2.461504,2.451908,2.457285,2.462568,2.504341,2.509403,2.515465,2.522016,2.523464,2.518413,2.520463,2.522964,2.528263,2.529213,2.516428,"0.9%"
Natural Gas to Liquefy Gas for Export,"Energy Use: Delivered: All Sectors: Liquefaction": Reference case,2-AEO2020.93.ref2020-d112119a,"quads",0.174271,0.242099,0.304438,0.32373,0.328008,0.366746,0.455463,0.530939,0.551659,0.573635,0.593099,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,"4.1%"
Pipeline and Distribution Fuel Natural Gas,"Energy Use: Delivered: All Sectors: Pipeline Natural Gas": Reference case,2-AEO2020.94.ref2020-d112119a,"quads",0.67193,0.650566,0.677018,0.683963,0.685109,0.692425,0.69956,0.704001,0.697443,0.697381,0.699145,0.693106,0.694871,0.697834,0.70106,0.709088,0.712518,0.719496,0.727418,0.731698,0.738409,0.744276,0.747968,0.756825,0.762908,0.768945,0.774331,0.780825,0.788061,0.799276,0.807187,0.816307,"0.6%"
Natural Gas Subtotal,"Energy Use: Delivered: All Sectors: Natural Gas Subtotal": Reference case,2-AEO2020.95.ref2020-d112119a,"quads",20.37059,20.593168,20.942291,21.27964,21.506905,21.75775,21.931845,21.999199,22.003082,22.064827,22.166388,22.142607,22.256231,22.39345,22.455179,22.60384,22.731125,22.839069,23.021439,23.144285,23.278593,23.480476,23.641479,23.808983,23.966604,24.140652,24.309193,24.468901,24.686035,24.885708,25.082794,25.209726,"0.7%"
Metallurgical Coal,"Energy Use: Delivered: All Sectors: Metallurgical Coal": Reference case,2-AEO2020.96.ref2020-d112119a,"quads",0.5954,0.5953,0.529283,0.50609,0.51093,0.499757,0.490165,0.483739,0.476834,0.470476,0.463996,0.459202,0.458072,0.45888,0.461604,0.462487,0.462029,0.463557,0.46419,0.465161,0.465178,0.465081,0.463049,0.463346,0.460625,0.459623,0.458311,0.45635,0.45311,0.45163,0.447912,0.444824,"-0.9%"
Other Coal,"Energy Use: Delivered: All Sectors: Other Coal": Reference case,2-AEO2020.97.ref2020-d112119a,"quads",0.550163,0.492077,0.517173,0.540874,0.553059,0.562995,0.571611,0.578788,0.578011,0.577175,0.575974,0.574803,0.567283,0.560146,0.553428,0.546699,0.538672,0.536013,0.533385,0.531071,0.528574,0.527134,0.525483,0.523831,0.522233,0.52128,0.520398,0.519847,0.519177,0.518496,0.517858,0.517056,"-0.2%"
Coal-to-Liquids Heat and Power,"Energy Use: Delivered: All Sectors: Coal-to-Liquids Heat and Power": Reference case,2-AEO2020.98.ref2020-d112119a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Net Coal Coke Imports,"Energy Use: Delivered: All Sectors: Net Coal Coke Imports": Reference case,2-AEO2020.99.ref2020-d112119a,"quads",-0.0165,-0.0206,-0.019509,-0.026991,-0.02241,-0.022492,-0.020909,-0.020172,-0.019275,-0.018486,-0.017832,-0.017357,-0.016965,-0.016597,-0.016265,-0.015993,-0.015854,-0.015728,-0.015602,-0.015435,-0.01528,-0.015145,-0.015059,-0.014961,-0.014877,-0.0148,-0.014726,-0.014648,-0.014646,-0.014584,-0.014565,-0.014571,"-0.4%"
Coal Subtotal,"Energy Use: Delivered: All Sectors: Coal Subtotal": Reference case,2-AEO2020.100.ref2020-d112119a,"quads",1.129063,1.066777,1.026947,1.019973,1.04158,1.040259,1.040867,1.042355,1.03557,1.029165,1.022138,1.016648,1.00839,1.002429,0.998766,0.993193,0.984848,0.983842,0.981973,0.980797,0.978472,0.97707,0.973473,0.972216,0.967981,0.966103,0.963982,0.961549,0.957641,0.955542,0.951205,0.947308,"-0.6%"
Biofuels Heat and Coproducts,"Energy Use: Delivered: All Sectors: Biofuels Heat and Coproducts": Reference case,2-AEO2020.101.ref2020-d112119a,"quads",0.90236,0.889303,0.873474,0.86843,0.856749,0.85,0.842719,0.842631,0.845147,0.851838,0.850617,0.854061,0.855437,0.857013,0.858548,0.860185,0.861477,0.864167,0.867164,0.870213,0.87395,0.879242,0.885231,0.890945,0.896643,0.898263,0.900782,0.901143,0.908122,0.915052,0.921984,0.932056,"0.1%"
Renewable Energy,"Energy Use: Delivered: All Sectors: Renewable Energy": Reference case,2-AEO2020.102.ref2020-d112119a,"quads",2.284745,2.173294,2.189458,2.22696,2.247329,2.272554,2.300244,2.32915,2.346533,2.366035,2.386111,2.406199,2.41947,2.426992,2.434691,2.446983,2.457329,2.465708,2.470694,2.478399,2.483468,2.493832,2.506652,2.517586,2.532781,2.551849,2.573402,2.595408,2.617195,2.635573,2.653748,2.670658,"0.5%"
Hydrogen,"Energy Use: Delivered: All Sectors: Hydrogen": Reference case,2-AEO2020.103.ref2020-d112119a,"quads",0.000286,0.000411,0.000503,0.000594,0.000682,0.000769,0.000855,0.000943,0.001031,0.001122,0.001214,0.001309,0.001405,0.001502,0.001601,0.001706,0.001816,0.001929,0.002049,0.002176,0.002307,0.002447,0.002602,0.002758,0.00292,0.003082,0.003248,0.00342,0.003598,0.003783,0.003977,0.004177,"9.0%"
Electricity,"Energy Use: Delivered: All Sectors: Electricity": Reference case,2-AEO2020.104.ref2020-d112119a,"quads",12.837544,12.722369,12.985539,13.114371,13.185908,13.252776,13.309521,13.370378,13.418852,13.500012,13.595037,13.673162,13.757202,13.854676,13.952512,14.061523,14.177339,14.293361,14.422968,14.543203,14.668087,14.795041,14.926941,15.062179,15.203483,15.346931,15.498482,15.654609,15.81636,15.981182,16.154057,16.324272,"0.8%"
Delivered Energy,"Energy Use: Delivered: All Sectors: Delivered Energy": Reference case,2-AEO2020.105.ref2020-d112119a,"quads",75.379845,75.554932,76.081116,76.449196,76.625748,76.688759,76.712479,76.731583,76.573608,76.674713,76.780304,76.843193,77.002258,77.186798,77.263458,77.56263,77.79686,77.981667,78.315247,78.597435,78.909592,79.297028,79.726135,80.177887,80.647354,81.158493,81.72007,82.25296,82.879959,83.495132,84.120895,84.68792,"0.4%"
Electricity Related Losses,"Energy Use: Delivered: All Sectors: Electricity Related Losses": Reference case,2-AEO2020.106.ref2020-d112119a,"quads",24.616051,24.035973,24.132053,23.845642,23.487083,23.322262,22.862923,22.531019,22.502813,22.533558,22.609913,22.709631,22.789604,22.846298,22.892105,22.907051,22.992298,23.088203,23.190191,23.263678,23.338406,23.420303,23.553467,23.709671,23.850197,24.033943,24.235844,24.460918,24.667473,24.851578,25.031456,25.236641,"0.1%"
Total,"Energy Use: Delivered: All Sectors: Total": Reference case,2-AEO2020.107.ref2020-d112119a,"quads",99.995895,99.590904,100.213165,100.294838,100.112831,100.011017,99.575401,99.262604,99.076424,99.208267,99.390213,99.552826,99.791862,100.033096,100.155563,100.469681,100.789154,101.06987,101.50544,101.861115,102.248001,102.717331,103.279602,103.887558,104.497551,105.192436,105.955917,106.713882,107.547432,108.34671,109.152351,109.924561,"0.3%"
Electric Power,,2-AEO2020.110.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distillate Fuel Oil,"Energy Use: Electric Power: Distillate Fuel Oil": Reference case,2-AEO2020.111.ref2020-d112119a,"quads",0.089182,0.083722,0.082247,0.080663,0.077674,0.076494,0.073521,0.067714,0.062727,0.058468,0.057262,0.056293,0.053566,0.053218,0.052641,0.052256,0.051726,0.051332,0.050704,0.047531,0.04707,0.046842,0.046105,0.04537,0.044433,0.043876,0.043376,0.043627,0.043632,0.043741,0.043779,0.044058,"-2.2%"
Residual Fuel Oil,"Energy Use: Electric Power: Residual Fuel Oil": Reference case,2-AEO2020.112.ref2020-d112119a,"quads",0.09095,0.088218,0.049371,0.0479,0.046611,0.045346,0.041641,0.040346,0.039536,0.038815,0.038177,0.037293,0.036902,0.036609,0.036312,0.036067,0.035826,0.035066,0.034325,0.033556,0.032782,0.032025,0.029579,0.027048,0.0245,0.021888,0.019233,0.019344,0.019469,0.01961,0.019743,0.019874,"-4.8%"
Petroleum and Other Liquids Subtotal,"Energy Use: Electric Power: Liquid Fuels Subtotal": Reference case,2-AEO2020.113.ref2020-d112119a,"quads",0.180132,0.17194,0.131618,0.128563,0.124285,0.12184,0.115162,0.10806,0.102263,0.097283,0.095438,0.093586,0.090468,0.089827,0.088952,0.088322,0.087552,0.086398,0.085029,0.081087,0.079852,0.078867,0.075684,0.072419,0.068933,0.065764,0.062608,0.062971,0.0631,0.063352,0.063522,0.063932,"-3.3%"
Natural Gas,"Energy Use: Electric Power: Natural Gas": Reference case,2-AEO2020.114.ref2020-d112119a,"quads",11.774796,11.609514,12.129338,11.719213,11.478555,11.211315,11.132001,11.072958,10.899391,10.836034,10.763064,10.538104,10.6232,10.759455,10.958403,11.279948,11.319609,11.39948,11.50105,11.616288,11.705311,11.83617,11.886371,11.920951,11.973424,11.941996,11.934001,11.974667,12.098969,12.284153,12.469663,12.600718,"0.2%"
Steam Coal,"Energy Use: Electric Power: Steam Coal": Reference case,2-AEO2020.115.ref2020-d112119a,"quads",10.120842,9.192068,8.665375,8.324944,7.708764,7.588306,7.104189,7.516713,7.505539,7.48982,7.459027,7.442715,7.394971,7.383134,7.450978,7.382815,7.293159,7.23298,7.221808,7.130394,7.079056,7.054896,7.022219,6.993107,6.967757,6.967848,6.932781,7.000947,6.995442,6.988654,6.959625,6.989138,"-1.2%"
Nuclear / Uranium,"Energy Use: Electric Power: Nuclear": Reference case,2-AEO2020.116.ref2020-d112119a,"quads",8.444715,8.296324,8.161823,8.00919,8.031043,8.063392,7.822189,7.098251,7.101179,7.104901,7.108607,7.115708,7.126846,7.134424,6.972309,6.798795,6.813493,6.82442,6.826629,6.828832,6.828832,6.739802,6.752901,6.762374,6.679939,6.687841,6.696404,6.700862,6.705318,6.708094,6.711448,6.716295,"-0.7%"
Renewable Energy,"Energy Use: Electric Power: Renewable Energy": Reference case,2-AEO2020.117.ref2020-d112119a,"quads",6.652128,7.166307,7.722456,8.486435,9.044923,9.297235,9.717552,9.819456,10.014475,10.200233,10.476473,10.881594,11.00832,11.023414,11.063248,11.099174,11.338204,11.525404,11.666911,11.839836,12.002023,12.194883,12.430889,12.712051,13.054075,13.409318,13.801381,14.07331,14.320392,14.490529,14.684673,14.895687,"2.6%"
Non-biogenic Municipal Waste,"Energy Use: Electric Power: Non-biogenic Municipal Waste": Reference case,2-AEO2020.118.ref2020-d112119a,"quads",0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,0.11591,"0.0%"
Electricity Imports,"Energy Use: Electric Power: Electricity Imports": Reference case,2-AEO2020.119.ref2020-d112119a,"quads",0.165071,0.206281,0.191069,0.175761,0.169513,0.177045,0.165441,0.170052,0.182907,0.189388,0.186427,0.19518,0.187085,0.194813,0.194816,0.203609,0.201712,0.196974,0.195821,0.194533,0.195509,0.194809,0.196438,0.19504,0.193638,0.1922,0.191246,0.186864,0.184707,0.182075,0.180675,0.179234,"0.3%"
Total,"Energy Use: Electric Power: Total": Reference case,2-AEO2020.120.ref2020-d112119a,"quads",37.453594,36.758343,37.117592,36.960014,36.672993,36.575039,36.172443,35.901398,35.921665,36.033569,36.204948,36.382793,36.546806,36.700974,36.844616,36.968575,37.169636,37.381565,37.613159,37.806881,38.006493,38.215343,38.480408,38.771851,39.05368,39.380875,39.734325,40.115528,40.483833,40.83276,41.185513,41.560913,"0.3%"
Total Energy Consumption,,2-AEO2020.122.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases and Other,"Energy Use: Total: Liquefied Petroleum Gases": Reference case,2-AEO2020.123.ref2020-d112119a,"quads",3.768759,4.098966,4.167071,4.256987,4.342181,4.404814,4.448359,4.48413,4.517716,4.557845,4.598157,4.647107,4.688744,4.727067,4.764004,4.803555,4.845819,4.878136,4.910781,4.943309,4.979369,5.017888,5.053612,5.098951,5.136157,5.178721,5.221794,5.272137,5.314125,5.355966,5.40694,5.44066,"1.2%"
Motor Gasoline,"Energy Use: Total: Motor Gasoline": Reference case,2-AEO2020.124.ref2020-d112119a,"quads",17.160221,17.206181,17.067984,16.837149,16.523163,16.193956,15.856875,15.5978,15.374442,15.176827,14.998297,14.848476,14.719697,14.586298,14.462612,14.345031,14.229981,14.140329,14.064264,14.001075,13.951831,13.925961,13.910645,13.909888,13.921799,13.942833,13.968853,14.008247,14.057117,14.109786,14.168859,14.236506,"-0.6%"
of which:  E85,"Energy Use: Total: E85": Reference case,2-AEO2020.125.ref2020-d112119a,"quads",0.014952,0.019286,0.020542,0.024494,0.023208,0.022737,0.024349,0.024551,0.02409,0.023013,0.022452,0.024862,0.023507,0.023174,0.022591,0.021427,0.019485,0.019928,0.019717,0.018296,0.016495,0.015061,0.014862,0.013187,0.012808,0.01245,0.012251,0.011684,0.008313,0.00788,0.009604,0.009551,"-1.4%"
Jet Fuel,"Energy Use: Total: Jet Fuel": Reference case,2-AEO2020.126.ref2020-d112119a,"quads",3.632717,3.703841,3.686583,3.660182,3.663723,3.682744,3.713974,3.744181,3.776127,3.811925,3.84671,3.882323,3.917385,3.954092,3.98955,4.02464,4.057759,4.09042,4.12409,4.156852,4.190514,4.226877,4.264115,4.301651,4.341857,4.383804,4.428105,4.47389,4.521812,4.570488,4.619812,4.669962,"0.8%"
Kerosene,"Energy Use: Total: Kerosene": Reference case,2-AEO2020.127.ref2020-d112119a,"quads",0.00145,0.001531,0.001611,0.001416,0.001398,0.001335,0.001324,0.001256,0.001251,0.001183,0.001152,0.001081,0.001034,0.001012,0.000958,0.000922,0.000889,0.000861,0.000836,0.000815,0.000785,0.000776,0.000749,0.000712,0.000691,0.000669,0.000629,0.000624,0.000585,0.000554,0.000533,0.000524,"-3.2%"
Distillate Fuel Oil,"Energy Use: Total: Distillate Fuel Oil": Reference case,2-AEO2020.128.ref2020-d112119a,"quads",8.605067,8.689081,8.602896,8.62516,8.53932,8.516313,8.481676,8.474144,8.430308,8.410631,8.36534,8.301549,8.267616,8.230422,8.197476,8.181255,8.165529,8.163844,8.143073,8.130214,8.115561,8.12387,8.12613,8.141882,8.160001,8.189735,8.207535,8.242441,8.269528,8.290621,8.314138,8.327561,"-0.1%"
Residual Fuel Oil,"Energy Use: Total: Residual Fuel Oil": Reference case,2-AEO2020.129.ref2020-d112119a,"quads",0.694111,0.662044,0.647881,0.554328,0.674507,0.685376,0.690031,0.66273,0.652,0.609113,0.606551,0.653067,0.648816,0.64678,0.642082,0.639941,0.633236,0.589793,0.585274,0.571816,0.564633,0.552718,0.560613,0.535282,0.529078,0.50956,0.521167,0.497971,0.493994,0.490758,0.485871,0.480315,"-1.2%"
Petrochemical Feedstocks,"Energy Use: Total: Petrochemical Feedstocks": Reference case,2-AEO2020.130.ref2020-d112119a,"quads",0.6303,0.567,0.63368,0.696617,0.735539,0.772962,0.801915,0.82714,0.849597,0.874477,0.899718,0.926649,0.950898,0.972591,0.993771,1.015933,1.039423,1.058579,1.077548,1.096362,1.116597,1.138273,1.158441,1.18238,1.204208,1.227612,1.251093,1.277771,1.300997,1.324063,1.350241,1.371328,"2.5%"
Other Petroleum,"Energy Use: Total: Other Petroleum": Reference case,2-AEO2020.131.ref2020-d112119a,"quads",3.542764,3.352905,3.386818,3.435951,3.43105,3.378989,3.407441,3.463598,3.424215,3.516998,3.538308,3.582537,3.600403,3.622298,3.600662,3.672241,3.697848,3.698025,3.72812,3.759003,3.785275,3.76142,3.791134,3.824894,3.852087,3.884449,3.934418,3.957823,3.995952,4.039396,4.070265,4.136801,"0.5%"
Petroleum and Other Liquids Subtotal,"Energy Use: Total: Liquid Fuels Subtotal": Reference case,2-AEO2020.132.ref2020-d112119a,"quads",38.035385,38.281551,38.194523,38.067791,37.910881,37.63649,37.401592,37.254986,37.025658,36.959,36.854233,36.842796,36.794594,36.740562,36.651115,36.683521,36.670486,36.619987,36.633984,36.659447,36.704563,36.747784,36.865437,36.99564,37.145882,37.317383,37.533596,37.730907,37.954113,38.181633,38.416656,38.663658,"0.1%"
Natural Gas,"Energy Use: Total: Natural Gas": Reference case,2-AEO2020.133.ref2020-d112119a,"quads",29.387426,29.3508,30.029856,29.838982,29.778496,29.665312,29.601511,29.493446,29.291409,29.24732,29.245022,28.994272,29.182142,29.432142,29.679796,30.122288,30.279957,30.452835,30.739704,30.968132,31.179468,31.463314,31.667019,31.854185,32.051643,32.185524,32.346996,32.538818,32.870518,33.237606,33.612598,33.874252,"0.5%"
Natural-Gas-to-Liquids Heat and Power,"Energy Use: Total: Natural-Gas-to-Liquids Heat and Power": Reference case,2-AEO2020.134.ref2020-d112119a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Lease and Plant Fuel,"Energy Use: Total: Lease and Plant Fuel": Reference case,2-AEO2020.135.ref2020-d112119a,"quads",1.911758,1.959219,2.060317,2.152177,2.193848,2.244581,2.307311,2.343771,2.361964,2.382526,2.392183,2.389873,2.398961,2.418214,2.429265,2.448955,2.454799,2.461504,2.451908,2.457285,2.462568,2.504341,2.509403,2.515465,2.522016,2.523464,2.518413,2.520463,2.522964,2.528263,2.529213,2.516428,"0.9%"
Natural Gas to Liquefy Gas for Export,"Energy Use: Total: Liquefaction": Reference case,2-AEO2020.136.ref2020-d112119a,"quads",0.174271,0.242099,0.304438,0.32373,0.328008,0.366746,0.455463,0.530939,0.551659,0.573635,0.593099,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,"4.1%"
Pipeline and Distribution Fuel Natural Gas,"Energy Use: Total: Pipeline Natural Gas": Reference case,2-AEO2020.137.ref2020-d112119a,"quads",0.67193,0.650566,0.677018,0.683963,0.685109,0.692425,0.69956,0.704001,0.697443,0.697381,0.699145,0.693106,0.694871,0.697834,0.70106,0.709088,0.712518,0.719496,0.727418,0.731698,0.738409,0.744276,0.747968,0.756825,0.762908,0.768945,0.774331,0.780825,0.788061,0.799276,0.807187,0.816307,"0.6%"
Natural Gas Subtotal,"Energy Use: Total: Natural Gas Subtotal": Reference case,2-AEO2020.138.ref2020-d112119a,"quads",32.145386,32.202682,33.071629,32.998852,32.985458,32.969067,33.063843,33.072159,32.902477,32.90086,32.929451,32.68071,32.879433,33.152905,33.413582,33.883789,34.050732,34.238548,34.522488,34.760571,34.983902,35.316647,35.527847,35.729935,35.940025,36.082645,36.243198,36.443565,36.785,37.169861,37.552456,37.810448,"0.5%"
Metallurgical Coal,"Energy Use: Total: Metallurgical Coal": Reference case,2-AEO2020.139.ref2020-d112119a,"quads",0.5954,0.5953,0.529283,0.50609,0.51093,0.499757,0.490165,0.483739,0.476834,0.470476,0.463996,0.459202,0.458072,0.45888,0.461604,0.462487,0.462029,0.463557,0.46419,0.465161,0.465178,0.465081,0.463049,0.463346,0.460625,0.459623,0.458311,0.45635,0.45311,0.45163,0.447912,0.444824,"-0.9%"
Other Coal,"Energy Use: Total: Other Coal": Reference case,2-AEO2020.140.ref2020-d112119a,"quads",10.671005,9.684145,9.182548,8.865818,8.261823,8.151301,7.6758,8.0955,8.08355,8.066994,8.035001,8.017518,7.962254,7.94328,8.004405,7.929513,7.831831,7.768992,7.755194,7.661465,7.607631,7.58203,7.547702,7.516938,7.48999,7.489129,7.453178,7.520794,7.514619,7.50715,7.477484,7.506194,"-1.1%"
Coal-to-Liquids Heat and Power,"Energy Use: Total: Coal-to-Liquids Heat and Power": Reference case,2-AEO2020.141.ref2020-d112119a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
